Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
"This USGS data file has been deprecated. To continue receiving updates for earthquake information you must switch to the new data format [http://earthquake.usgs.gov/earthquakes/feed/]. In the future, data feeds will be updated and deprecated following our official deprecation policy [http://earthquake.usgs.gov/earthquakes/feed/policy.php]."
nc,72109121,0,"Monday, November 18, 2013 00:05:07 UTC",38.8565,-123.2832,1.6,2.80, 8,"Northern California"
ak,10854321,1,"Sunday, November 17, 2013 23:15:08 UTC",63.2700,-151.0573,1.6,11.50,14,"Central Alaska"
nc,72109096,6,"Sunday, November 17, 2013 22:45:06 UTC",40.3002,-124.7062,3.7,5.00,47,"offshore Northern California"
nc,72109086,0,"Sunday, November 17, 2013 22:39:39 UTC",38.9560,-123.0972,1.9,0.00,13,"Northern California"
nn,00429374,1,"Sunday, November 17, 2013 22:28:26 UTC",37.3592,-115.4575,1.2,12.00, 7,"Nevada"
nc,72109076,1,"Sunday, November 17, 2013 22:25:03 UTC",38.8185,-122.8063,2.2,2.50,46,"Northern California"
nc,72109071,1,"Sunday, November 17, 2013 22:24:54 UTC",38.8203,-122.8053,1.4,2.80,24,"Northern California"
ak,10854201,1,"Sunday, November 17, 2013 22:02:24 UTC",63.3146,-150.0067,1.4,97.50,11,"Central Alaska"
nc,72109046,1,"Sunday, November 17, 2013 21:02:18 UTC",37.8870,-122.2027,2.3,8.80,60,"San Francisco Bay area, California"
ci,11392474,2,"Sunday, November 17, 2013 21:00:19 UTC",33.4577,-116.7560,1.1,10.40,20,"Southern California"
ci,11392466,2,"Sunday, November 17, 2013 20:52:23 UTC",33.0698,-115.5705,1.7,12.90,14,"Southern California"
nc,72109031,1,"Sunday, November 17, 2013 20:06:30 UTC",39.6042,-123.6498,2.5,3.80,19,"Northern California"
uw,60631896,4,"Sunday, November 17, 2013 19:59:57 UTC",47.4778,-122.3828,2.5,33.70,76,"Seattle-Tacoma urban area, Washington"
ak,10853964,2,"Sunday, November 17, 2013 19:57:03 UTC",60.1810,-153.8762,4.1,196.90,36,"Southern Alaska"
ak,10853958,1,"Sunday, November 17, 2013 19:47:58 UTC",61.4616,-149.5026,1.9,32.70,22,"Southern Alaska"
ci,11392450,2,"Sunday, November 17, 2013 19:47:47 UTC",33.6227,-116.6518,1.0,13.90,15,"Southern California"
ak,10853951,1,"Sunday, November 17, 2013 19:41:04 UTC",60.0866,-152.7711,3.0,100.00,21,"Southern Alaska"
ak,10853942,1,"Sunday, November 17, 2013 19:32:13 UTC",63.3475,-151.1210,2.6,0.20,39,"Central Alaska"
ak,10853939,1,"Sunday, November 17, 2013 19:24:27 UTC",64.1199,-149.3699,1.4,46.90, 4,"Central Alaska"
ci,11392442,2,"Sunday, November 17, 2013 18:53:42 UTC",35.2460,-118.9342,1.8,18.30,24,"Central California"
pr,13321003,0,"Sunday, November 17, 2013 18:40:17 UTC",17.9204,-67.0875,2.4,5.00, 6,"Puerto Rico region"
ak,10853891,1,"Sunday, November 17, 2013 17:53:49 UTC",64.0916,-148.7672,1.4,100.00, 6,"Central Alaska"
ak,10853935,2,"Sunday, November 17, 2013 17:51:45 UTC",50.9847,-177.4927,2.9,24.30,12,"Andreanof Islands, Aleutian Islands, Alaska"
ak,10853892,1,"Sunday, November 17, 2013 17:48:09 UTC",63.1406,-149.7967,1.5,9.60, 6,"Central Alaska"
ak,10853807,1,"Sunday, November 17, 2013 17:27:35 UTC",65.2654,-150.0463,1.7,52.50, 4,"northern Alaska"
nc,72108971,0,"Sunday, November 17, 2013 17:13:16 UTC",39.1797,-123.7132,2.0,0.00, 8,"Northern California"
uw,60631811,2,"Sunday, November 17, 2013 17:05:46 UTC",47.8695,-121.6553,2.0,10.70,15,"Washington"
ak,10853786,1,"Sunday, November 17, 2013 16:52:29 UTC",59.9356,-151.8243,1.8,51.50, 8,"Kenai Peninsula, Alaska"
ak,10853783,1,"Sunday, November 17, 2013 16:49:52 UTC",61.0462,-150.9051,1.9,65.90, 6,"Southern Alaska"
hv,60592816,2,"Sunday, November 17, 2013 16:30:36 UTC",19.3687,-155.2157,2.1,3.30,53,"Island of Hawaii, Hawaii"
ak,10853724,2,"Sunday, November 17, 2013 16:15:10 UTC",63.1233,-150.9122,3.0,131.30,20,"Central Alaska"
uw,60631771,2,"Sunday, November 17, 2013 15:06:51 UTC",46.4108,-119.2707,1.0,0.00,15,"Washington"
nc,72108931,0,"Sunday, November 17, 2013 14:54:28 UTC",38.8235,-122.7910,1.0,3.20,21,"Northern California"
uw,60631761,4,"Sunday, November 17, 2013 14:47:06 UTC",46.4115,-119.2677,3.2,0.00,33,"Washington"
ak,10853591,1,"Sunday, November 17, 2013 14:44:11 UTC",64.4752,-149.1938,1.3,99.90, 5,"Central Alaska"
ci,11392410,3,"Sunday, November 17, 2013 14:32:49 UTC",33.4860,-116.7630,1.1,8.60,32,"Southern California"
ci,11392402,2,"Sunday, November 17, 2013 14:24:26 UTC",33.5250,-116.4472,1.1,8.50,22,"Southern California"
ci,11392394,2,"Sunday, November 17, 2013 14:13:09 UTC",33.9328,-117.1360,1.1,17.30,23,"Greater Los Angeles area, California"
ak,10853541,1,"Sunday, November 17, 2013 14:02:01 UTC",65.3166,-149.9495,1.8,17.70, 4,"northern Alaska"
ak,10853514,1,"Sunday, November 17, 2013 13:42:10 UTC",60.2841,-144.9631,2.7,25.40, 4,"Southern Alaska"
pr,13321002,0,"Sunday, November 17, 2013 13:22:01 UTC",19.0995,-64.0493,3.3,37.00, 5,"Virgin Islands region"
ci,11392386,2,"Sunday, November 17, 2013 13:06:38 UTC",34.0382,-116.7747,1.1,17.90,32,"Southern California"
ci,11392378,2,"Sunday, November 17, 2013 12:40:14 UTC",32.8638,-115.9942,1.3,9.30,31,"Southern California"
ak,10853429,1,"Sunday, November 17, 2013 12:40:06 UTC",61.2722,-152.0558,2.5,99.90,32,"Southern Alaska"
ak,10853392,2,"Sunday, November 17, 2013 12:23:26 UTC",62.9575,-150.6154,1.3,91.70,17,"Central Alaska"
nc,72108886,0,"Sunday, November 17, 2013 12:14:09 UTC",38.7717,-122.7130,1.4,2.60,14,"Northern California"
uw,60631716,3,"Sunday, November 17, 2013 12:11:07 UTC",48.4217,-122.8333,2.3,24.10,35,"San Juan Islands region, Washington"
ak,10853333,2,"Sunday, November 17, 2013 11:40:11 UTC",62.3087,-151.2436,4.4,79.70,26,"Central Alaska"
nc,72108876,0,"Sunday, November 17, 2013 11:37:20 UTC",37.5832,-118.7870,1.2,4.70, 9,"Central California"
nc,72108871,1,"Sunday, November 17, 2013 11:26:07 UTC",38.2892,-122.6072,2.8,6.80,56,"Northern California"
nc,72108861,0,"Sunday, November 17, 2013 10:59:08 UTC",38.7963,-122.8145,1.0,3.40,19,"Northern California"
ak,10853248,2,"Sunday, November 17, 2013 10:16:04 UTC",63.7568,-144.8694,2.7,12.40,25,"Central Alaska"
ak,10853245,1,"Sunday, November 17, 2013 10:09:29 UTC",63.2786,-149.7655,2.1,50.70, 4,"Central Alaska"
nc,72108846,0,"Sunday, November 17, 2013 09:42:41 UTC",36.1323,-120.1445,2.1,23.30,11,"Central California"
nc,72108841,1,"Sunday, November 17, 2013 09:35:26 UTC",37.1472,-121.5410,1.5,7.90,24,"Northern California"
at,00mweh87,1,"Sunday, November 17, 2013 09:04:57 UTC",-60.1000,-46.0000,7.8,42.00,92,"Scotia Sea"
ak,10853194,1,"Sunday, November 17, 2013 09:02:21 UTC",63.0014,-149.7028,1.6,83.20,16,"Central Alaska"
ci,11392362,2,"Sunday, November 17, 2013 08:41:15 UTC",34.7140,-116.2925,1.8,1.90,17,"Southern California"
ak,10853188,1,"Sunday, November 17, 2013 08:34:02 UTC",63.5479,-147.7515,1.5,18.40,12,"Central Alaska"
nc,72108801,0,"Sunday, November 17, 2013 08:00:38 UTC",38.8262,-122.7843,1.4,2.50,22,"Northern California"
nc,72108796,0,"Sunday, November 17, 2013 07:27:11 UTC",36.0518,-120.6535,1.3,1.10,12,"Central California"
ak,10853161,1,"Sunday, November 17, 2013 07:06:20 UTC",59.7299,-152.5897,2.9,63.10,15,"Southern Alaska"
ak,10853160,1,"Sunday, November 17, 2013 07:04:36 UTC",62.5738,-151.0387,1.7,73.50, 8,"Central Alaska"
ak,10853139,1,"Sunday, November 17, 2013 06:22:42 UTC",63.3105,-150.3271,1.5,36.20, 5,"Central Alaska"
nc,72108771,0,"Sunday, November 17, 2013 06:11:51 UTC",38.9118,-122.6878,2.2,2.20,18,"Northern California"
ci,11392354,2,"Sunday, November 17, 2013 06:02:28 UTC",33.6582,-116.7777,1.7,14.00,51,"Southern California"
ci,11392346,2,"Sunday, November 17, 2013 05:50:53 UTC",33.3427,-116.5958,1.0,11.80,15,"Southern California"
ci,11392338,2,"Sunday, November 17, 2013 05:49:29 UTC",32.6130,-115.7722,1.8,8.90,21,"Baja California, Mexico"
ak,10853132,1,"Sunday, November 17, 2013 05:39:53 UTC",61.3735,-149.4778,1.7,29.30, 6,"Southern Alaska"
nc,72108751,0,"Sunday, November 17, 2013 05:27:52 UTC",40.3655,-124.1695,1.8,24.10, 9,"Northern California"
nc,72108741,0,"Sunday, November 17, 2013 05:03:39 UTC",38.8402,-122.7668,1.0,0.30,16,"Northern California"
nc,72108726,1,"Sunday, November 17, 2013 05:02:16 UTC",38.8365,-122.7682,2.3,1.10,43,"Northern California"
ak,10853120,1,"Sunday, November 17, 2013 04:48:58 UTC",63.5624,-151.0173,1.6,11.20, 9,"Central Alaska"
ci,11392322,2,"Sunday, November 17, 2013 04:47:29 UTC",35.9845,-117.8337,1.0,4.10, 8,"Central California"
uw,60631571,2,"Sunday, November 17, 2013 03:54:37 UTC",47.8753,-121.6470,1.0,9.70,16,"Washington"
nc,72108716,1,"Sunday, November 17, 2013 03:24:38 UTC",38.8125,-122.7927,1.3,3.20,28,"Northern California"
nc,72108711,1,"Sunday, November 17, 2013 03:11:25 UTC",38.8218,-122.7937,1.3,3.30,27,"Northern California"
ci,11392306,2,"Sunday, November 17, 2013 03:11:19 UTC",33.8050,-117.6992,1.5,8.00,37,"Greater Los Angeles area, California"
pr,13321001,0,"Sunday, November 17, 2013 03:06:29 UTC",19.3190,-64.6166,2.6,26.00, 5,"Virgin Islands region"
nn,00429341,1,"Sunday, November 17, 2013 02:55:46 UTC",40.2492,-119.7849,1.0,12.60, 6,"Nevada"
ak,10853078,2,"Sunday, November 17, 2013 01:52:55 UTC",59.7370,-152.8024,2.0,99.00,19,"Southern Alaska"
ak,10853073,1,"Sunday, November 17, 2013 01:45:11 UTC",63.4246,-150.4028,1.5,13.70, 7,"Central Alaska"
ak,10853067,2,"Sunday, November 17, 2013 01:31:33 UTC",61.2142,-150.3573,1.1,34.30, 9,"Southern Alaska"
ak,10853064,1,"Sunday, November 17, 2013 01:28:54 UTC",63.3508,-149.9988,1.4,1.80,12,"Central Alaska"
nc,72108691,0,"Sunday, November 17, 2013 01:16:35 UTC",38.8347,-122.7615,1.0,1.50, 7,"Northern California"
nc,72108686,1,"Sunday, November 17, 2013 01:14:49 UTC",38.7847,-122.7760,2.5,2.70,48,"Northern California"
nc,72108671,1,"Sunday, November 17, 2013 00:40:40 UTC",38.8083,-122.8123,1.6,2.30,34,"Northern California"
nc,72108651,0,"Sunday, November 17, 2013 00:12:00 UTC",39.9913,-120.0000,2.0,4.50,15,"Northern California"
ak,10853051,1,"Sunday, November 17, 2013 00:03:05 UTC",62.4602,-148.1296,1.6,97.90,14,"Central Alaska"
nc,72108636,0,"Saturday, November 16, 2013 23:47:39 UTC",38.8002,-122.8130,1.3,2.90,15,"Northern California"
ci,11392282,4,"Saturday, November 16, 2013 23:42:51 UTC",33.7823,-117.8690,2.3,2.10,56,"Greater Los Angeles area, California"
nc,72108626,1,"Saturday, November 16, 2013 23:40:24 UTC",38.8060,-122.8128,2.0,2.50,42,"Northern California"
ak,10853027,2,"Saturday, November 16, 2013 23:17:29 UTC",61.8508,-149.9985,2.1,6.40,36,"Southern Alaska"
ak,10853028,1,"Saturday, November 16, 2013 23:17:00 UTC",62.4653,-151.3548,2.4,34.90, 7,"Central Alaska"
nc,72108611,0,"Saturday, November 16, 2013 22:35:38 UTC",38.8093,-122.8250,1.2,2.40,20,"Northern California"
nc,72108606,0,"Saturday, November 16, 2013 22:29:43 UTC",36.6072,-121.1555,1.1,5.00, 8,"Central California"
uw,60631386,2,"Saturday, November 16, 2013 21:34:12 UTC",47.8712,-121.6588,1.2,12.60,14,"Washington"
nc,72108586,0,"Saturday, November 16, 2013 21:22:38 UTC",37.3025,-122.1738,1.0,10.10, 8,"Northern California"
ak,10852986,2,"Saturday, November 16, 2013 21:03:09 UTC",62.2996,-149.9350,1.1,9.00,17,"Central Alaska"
ak,10852808,2,"Saturday, November 16, 2013 20:37:55 UTC",62.4892,-151.0039,1.4,83.70,17,"Central Alaska"
ci,11392266,2,"Saturday, November 16, 2013 20:16:55 UTC",33.7303,-116.7670,1.2,21.20,16,"Southern California"
nc,72108576,0,"Saturday, November 16, 2013 19:45:38 UTC",39.6538,-122.0138,1.8,19.30, 5,"Northern California"
ci,11392250,2,"Saturday, November 16, 2013 19:03:59 UTC",34.0218,-117.2255,1.6,16.10,57,"Greater Los Angeles area, California"
nc,72108561,0,"Saturday, November 16, 2013 18:58:54 UTC",37.5203,-118.7728,1.3,8.90,12,"Central California"
ci,11392242,2,"Saturday, November 16, 2013 18:46:57 UTC",34.0050,-116.8517,1.1,17.20,24,"Southern California"
ci,11392234,2,"Saturday, November 16, 2013 18:33:25 UTC",33.1707,-115.6818,1.2,10.90,11,"Southern California"
nc,72108541,0,"Saturday, November 16, 2013 17:27:30 UTC",37.4217,-118.5452,1.1,13.10, 9,"Central California"
ci,11392226,2,"Saturday, November 16, 2013 17:10:08 UTC",33.5647,-116.4057,1.1,9.40,28,"Southern California"
nc,72108536,1,"Saturday, November 16, 2013 16:39:45 UTC",38.8085,-122.8165,1.6,3.30,35,"Northern California"
ak,10852757,1,"Saturday, November 16, 2013 16:31:11 UTC",61.9844,-148.4180,1.5,34.20,15,"Southern Alaska"
nc,72108531,0,"Saturday, November 16, 2013 16:30:46 UTC",36.5403,-121.0542,1.4,7.80, 6,"Central California"
ak,10852745,2,"Saturday, November 16, 2013 16:23:20 UTC",63.2137,-150.0128,2.9,103.30,17,"Central Alaska"
nc,72108521,1,"Saturday, November 16, 2013 15:58:51 UTC",38.8167,-122.8162,1.3,2.80,28,"Northern California"
nc,72108516,0,"Saturday, November 16, 2013 15:53:52 UTC",37.9245,-122.0848,1.2,14.30,10,"San Francisco Bay area, California"
nc,72108511,0,"Saturday, November 16, 2013 15:40:34 UTC",38.8358,-122.8072,1.0,2.80,14,"Northern California"
nm,111613f,A,"Saturday, November 16, 2013 15:29:33 UTC",35.3266,-92.7520,2.1,6.80, 8,"Arkansas"
pr,13320004,0,"Saturday, November 16, 2013 15:02:29 UTC",18.9430,-64.9718,2.7,43.00, 7,"Virgin Islands region"
ak,10852714,2,"Saturday, November 16, 2013 14:41:53 UTC",59.1226,-153.2546,3.7,83.50,13,"Southern Alaska"
ak,10852715,1,"Saturday, November 16, 2013 14:41:19 UTC",61.1676,-145.5231,2.3,3.30, 4,"Southern Alaska"
pr,13320003,0,"Saturday, November 16, 2013 14:39:23 UTC",18.1322,-67.2409,1.8,19.00, 5,"Mona Passage, Puerto Rico"
nm,111613e,A,"Saturday, November 16, 2013 13:57:54 UTC",35.4503,-92.7017,1.8,0.10, 9,"Arkansas"
pr,13320002,0,"Saturday, November 16, 2013 13:46:15 UTC",17.8687,-65.5708,2.2,19.00, 5,"Puerto Rico region"
nm,111613d,A,"Saturday, November 16, 2013 13:31:28 UTC",35.4526,-92.6683,1.8,0.40, 9,"Arkansas"
nm,111613c,A,"Saturday, November 16, 2013 13:27:42 UTC",35.4571,-92.6517,1.7,0.10, 8,"Arkansas"
ci,11392194,2,"Saturday, November 16, 2013 13:18:51 UTC",36.0352,-117.7693,1.1,2.80, 8,"Central California"
ci,11392186,2,"Saturday, November 16, 2013 13:18:24 UTC",36.0367,-117.7712,1.2,2.60,10,"Central California"
nm,111613b,A,"Saturday, November 16, 2013 13:17:04 UTC",35.4449,-92.6650,1.7,0.10, 8,"Arkansas"
ak,10852709,2,"Saturday, November 16, 2013 13:10:03 UTC",61.1403,-140.0108,1.2,18.00, 8,"Southern Yukon Territory, Canada"
nm,111613a,A,"Saturday, November 16, 2013 12:55:57 UTC",35.4558,-92.6628,1.9,0.10,11,"Arkansas"
nc,72108451,1,"Saturday, November 16, 2013 12:08:06 UTC",35.8575,-120.4052,2.5,5.30,47,"Central California"
ak,10852700,1,"Saturday, November 16, 2013 11:53:00 UTC",61.5053,-151.2159,2.1,33.70, 5,"Southern Alaska"
ci,11392170,2,"Saturday, November 16, 2013 11:13:24 UTC",36.4098,-117.9580,1.8,0.10,16,"Central California"
ci,11392154,2,"Saturday, November 16, 2013 11:04:10 UTC",34.1560,-117.4490,1.2,9.70,28,"Greater Los Angeles area, California"
uw,60631231,2,"Saturday, November 16, 2013 10:56:23 UTC",47.8720,-121.6602,1.1,12.20,16,"Washington"
ak,10852460,2,"Saturday, November 16, 2013 10:35:05 UTC",53.8261,-163.4502,4.1,11.40,21,"Unimak Island region, Alaska"
ci,11392138,2,"Saturday, November 16, 2013 10:09:15 UTC",33.0262,-116.4245,1.5,7.50,33,"Southern California"
ak,10852450,1,"Saturday, November 16, 2013 09:54:58 UTC",61.7532,-149.2298,2.0,99.90, 4,"Southern Alaska"
ak,10852440,1,"Saturday, November 16, 2013 09:46:38 UTC",63.2889,-151.1953,1.5,10.30, 9,"Central Alaska"
ak,10852435,1,"Saturday, November 16, 2013 09:43:31 UTC",63.2757,-151.1235,1.9,0.00,19,"Central Alaska"
pr,13320001,0,"Saturday, November 16, 2013 09:42:49 UTC",17.8419,-67.1630,2.2,8.00, 4,"Puerto Rico region"
ak,10852432,1,"Saturday, November 16, 2013 09:41:16 UTC",63.3324,-151.1481,2.3,0.30,29,"Central Alaska"
uw,60631206,2,"Saturday, November 16, 2013 09:40:40 UTC",47.6055,-122.6742,1.0,21.30,14,"Seattle-Tacoma urban area, Washington"
nn,00429325,1,"Saturday, November 16, 2013 09:20:54 UTC",37.9532,-116.2210,1.4,7.00,12,"Nevada"
ak,10852204,1,"Saturday, November 16, 2013 08:45:08 UTC",60.9756,-152.0313,2.1,99.90,30,"Southern Alaska"
nc,72108406,0,"Saturday, November 16, 2013 08:40:06 UTC",40.7803,-124.3332,2.1,20.40,10,"offshore Northern California"
ci,11392122,2,"Saturday, November 16, 2013 08:28:58 UTC",34.2962,-116.9162,1.0,10.70,19,"Southern California"
nc,72108386,0,"Saturday, November 16, 2013 07:49:32 UTC",38.8422,-122.7667,1.2,1.50,16,"Northern California"
ak,10851985,2,"Saturday, November 16, 2013 07:27:10 UTC",53.5785,-165.7453,2.1,39.20,13,"Fox Islands, Aleutian Islands, Alaska"
ak,10851980,1,"Saturday, November 16, 2013 06:55:36 UTC",64.6980,-146.8857,2.1,0.40,20,"Central Alaska"
ci,11392106,2,"Saturday, November 16, 2013 06:51:47 UTC",34.6232,-116.5435,1.4,2.10,26,"Southern California"
hv,60592411,1,"Saturday, November 16, 2013 06:43:48 UTC",19.3655,-155.2957,1.8,3.60,37,"Island of Hawaii, Hawaii"
hv,60592406,2,"Saturday, November 16, 2013 06:24:58 UTC",19.3155,-155.2233,2.2,0.80,76,"Island of Hawaii, Hawaii"
ak,10851960,1,"Saturday, November 16, 2013 06:15:07 UTC",60.6228,-147.1406,1.5,15.40, 9,"Southern Alaska"
nn,00429323,1,"Saturday, November 16, 2013 06:05:47 UTC",38.4155,-117.1677,1.7,8.90, 7,"Nevada"
ak,10851747,1,"Saturday, November 16, 2013 05:30:28 UTC",63.5348,-150.8773,1.7,7.30,13,"Central Alaska"
nc,72108356,0,"Saturday, November 16, 2013 05:28:34 UTC",39.8078,-123.7940,2.0,0.00,13,"Northern California"
ci,11392090,2,"Saturday, November 16, 2013 05:12:48 UTC",33.5092,-116.4648,1.8,9.30,53,"Southern California"
ci,11392098,2,"Saturday, November 16, 2013 05:12:48 UTC",33.5098,-116.4585,1.8,9.10,31,"Southern California"
ak,10851542,1,"Saturday, November 16, 2013 05:00:14 UTC",63.1982,-148.9375,1.3,100.00, 5,"Central Alaska"
ak,10851536,1,"Saturday, November 16, 2013 04:35:20 UTC",63.5873,-148.5209,1.5,100.00, 5,"Central Alaska"
uw,60631026,1,"Saturday, November 16, 2013 04:21:55 UTC",47.8742,-121.6452,2.3,9.60,23,"Washington"
ak,10851525,1,"Saturday, November 16, 2013 04:20:34 UTC",63.7761,-148.5576,1.4,100.00, 6,"Central Alaska"
ak,10851521,1,"Saturday, November 16, 2013 04:06:06 UTC",63.4084,-146.7803,1.9,100.00, 6,"Central Alaska"
nn,00429319,1,"Saturday, November 16, 2013 04:03:14 UTC",37.3125,-115.3555,1.7,2.00,20,"Nevada"
uw,60631006,3,"Saturday, November 16, 2013 03:47:38 UTC",47.8702,-121.6507,1.2,11.80,16,"Washington"
pt,13320000,B,"Saturday, November 16, 2013 03:34:31 UTC",-60.4400,-46.9150,7.4,23.00, 7,"Scotia Sea"
ak,10851310,1,"Saturday, November 16, 2013 03:22:23 UTC",61.1039,-151.0487,2.0,49.90,38,"Southern Alaska"
ak,10851115,2,"Saturday, November 16, 2013 02:50:02 UTC",63.4959,-149.5474,1.1,109.20, 8,"Central Alaska"
ak,10851107,1,"Saturday, November 16, 2013 02:35:24 UTC",63.2598,-151.1441,1.4,8.90,11,"Central Alaska"
ak,10851102,1,"Saturday, November 16, 2013 02:27:16 UTC",62.8524,-149.7451,1.2,71.40,12,"Central Alaska"
uw,60630956,1,"Saturday, November 16, 2013 02:26:15 UTC",42.9670,-117.1250,2.4,0.80, 9,"Oregon"
nc,72108301,0,"Saturday, November 16, 2013 02:22:45 UTC",38.8095,-122.8138,1.0,2.50,19,"Northern California"
ak,10851085,1,"Saturday, November 16, 2013 02:09:23 UTC",61.4256,-140.7330,1.7,14.60,14,"Southern Yukon Territory, Canada"
pr,13320000,0,"Saturday, November 16, 2013 02:02:24 UTC",18.7280,-66.9345,2.6,62.00,10,"Puerto Rico region"
ci,11392058,2,"Saturday, November 16, 2013 01:41:00 UTC",33.9378,-116.7202,1.3,13.80,38,"Southern California"
nc,72108281,1,"Saturday, November 16, 2013 01:37:11 UTC",38.8092,-122.7430,2.0,2.40,41,"Northern California"
ak,10850863,2,"Saturday, November 16, 2013 01:11:35 UTC",59.8237,-153.3354,2.9,116.70,13,"Southern Alaska"
ak,10850853,2,"Saturday, November 16, 2013 00:34:54 UTC",62.2963,-151.1289,1.3,87.30, 9,"Central Alaska"
ci,11392050,2,"Saturday, November 16, 2013 00:28:18 UTC",33.5152,-116.4663,1.2,10.10,24,"Southern California"
ak,10850843,1,"Saturday, November 16, 2013 00:24:20 UTC",63.6934,-149.3053,1.2,6.20,16,"Central Alaska"
