Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
ak,10850840,2,"Saturday, November 16, 2013 00:13:30 UTC",63.2514,-150.4612,1.2,117.30, 9,"Central Alaska"
uw,60630886,2,"Saturday, November 16, 2013 00:03:51 UTC",44.1087,-123.0667,1.4,0.00, 7,"Oregon"
ak,10850827,1,"Friday, November 15, 2013 23:37:33 UTC",63.0739,-151.4053,1.5,4.40,14,"Central Alaska"
uw,60630836,2,"Friday, November 15, 2013 23:04:27 UTC",47.6378,-120.2240,1.2,0.00, 6,"Washington"
nc,72108211,1,"Friday, November 15, 2013 22:30:56 UTC",38.8158,-122.7913,1.6,3.20,32,"Northern California"
ci,11392034,2,"Friday, November 15, 2013 22:30:19 UTC",32.9297,-116.2590,1.3,6.40, 9,"Southern California"
uw,60630771,2,"Friday, November 15, 2013 22:13:13 UTC",49.4772,-120.5888,2.2,0.00, 5,"British Columbia, Canada"
ci,11392026,6,"Friday, November 15, 2013 22:03:30 UTC",33.2278,-117.1713,1.6,0.00, 7,"San Diego County urban area, California"
nc,72108201,0,"Friday, November 15, 2013 21:47:49 UTC",36.8740,-121.5905,1.6,1.20,10,"Central California"
uw,60630716,2,"Friday, November 15, 2013 21:21:36 UTC",47.8802,-121.6372,2.0,7.40,28,"Washington"
ci,11392018,4,"Friday, November 15, 2013 21:19:45 UTC",34.0267,-117.2212,1.4,17.50, 9,"Greater Los Angeles area, California"
ak,10850554,2,"Friday, November 15, 2013 21:10:06 UTC",62.9203,-149.4455,1.0,81.70,16,"Central Alaska"
ak,10850362,1,"Friday, November 15, 2013 20:55:36 UTC",62.4858,-151.6573,1.5,2.20, 5,"Central Alaska"
uw,60630641,3,"Friday, November 15, 2013 20:35:18 UTC",47.8765,-121.6447,2.1,8.90,25,"Washington"
ak,10850303,1,"Friday, November 15, 2013 19:55:52 UTC",61.1362,-151.5238,1.6,68.40,13,"Southern Alaska"
nc,72108126,1,"Friday, November 15, 2013 19:51:38 UTC",38.8098,-122.7970,1.6,3.10,33,"Northern California"
uw,60630551,3,"Friday, November 15, 2013 19:43:53 UTC",47.8515,-122.0298,1.4,0.00,11,"Seattle-Tacoma urban area, Washington"
ci,11392002,2,"Friday, November 15, 2013 19:32:13 UTC",35.0492,-117.6748,1.7,0.00, 9,"Southern California"
nc,72108106,0,"Friday, November 15, 2013 19:14:57 UTC",38.7643,-122.7417,1.0,2.30,18,"Northern California"
nn,00429277,1,"Friday, November 15, 2013 19:14:36 UTC",39.8120,-119.7853,1.1,11.80,21,"Nevada"
ak,10850293,2,"Friday, November 15, 2013 19:00:06 UTC",62.9697,-150.0793,1.2,97.00,15,"Central Alaska"
ak,10850119,2,"Friday, November 15, 2013 18:55:05 UTC",53.7192,-163.2257,3.4,49.00,21,"Unimak Island region, Alaska"
hv,60592141,1,"Friday, November 15, 2013 18:53:39 UTC",19.2697,-155.0572,2.0,47.00,63,"Island of Hawaii, Hawaii"
ak,10850085,1,"Friday, November 15, 2013 18:46:22 UTC",63.5427,-147.8953,1.3,1.10,17,"Central Alaska"
ak,10849774,1,"Friday, November 15, 2013 18:35:09 UTC",62.2581,-150.6402,1.6,12.00,15,"Central Alaska"
nc,72108076,1,"Friday, November 15, 2013 18:34:50 UTC",38.8097,-122.8223,2.0,2.40,31,"Northern California"
nc,72108071,0,"Friday, November 15, 2013 18:31:20 UTC",37.3113,-122.1097,2.0,0.90, 8,"San Francisco Bay area, California"
ci,11391994,7,"Friday, November 15, 2013 18:05:59 UTC",34.3412,-116.8787,1.2,0.00,15,"Southern California"
ak,10849448,1,"Friday, November 15, 2013 17:54:18 UTC",63.5458,-147.3470,1.3,5.50,16,"Central Alaska"
ci,11391986,4,"Friday, November 15, 2013 17:53:51 UTC",34.1648,-116.7767,1.0,10.10,11,"Southern California"
ci,11391978,4,"Friday, November 15, 2013 17:47:56 UTC",32.9652,-115.5603,1.7,12.70,12,"Southern California"
ak,10849430,1,"Friday, November 15, 2013 17:20:03 UTC",62.2815,-145.8711,1.5,7.10,10,"Central Alaska"
ak,10849251,1,"Friday, November 15, 2013 16:44:08 UTC",62.0813,-153.1984,1.4,0.10, 7,"Central Alaska"
uw,60630211,2,"Friday, November 15, 2013 15:57:35 UTC",48.0168,-124.6708,1.0,38.70,15,"Olympic Peninsula, Washington"
ak,10849060,1,"Friday, November 15, 2013 15:51:17 UTC",61.5612,-149.6850,1.6,32.80,20,"Southern Alaska"
hv,60592086,1,"Friday, November 15, 2013 15:44:41 UTC",19.1472,-155.3453,2.0,5.90,33,"Island of Hawaii, Hawaii"
nc,72108031,0,"Friday, November 15, 2013 15:36:30 UTC",36.3602,-120.9143,1.6,3.60,11,"Central California"
ci,11391954,2,"Friday, November 15, 2013 15:30:25 UTC",36.0517,-117.4820,1.2,5.10,10,"Central California"
ak,10849052,1,"Friday, November 15, 2013 15:25:25 UTC",62.7073,-149.2512,1.3,47.20,16,"Central Alaska"
ak,10848880,1,"Friday, November 15, 2013 14:24:18 UTC",63.5961,-147.5186,2.0,0.00,25,"Central Alaska"
nc,72108021,0,"Friday, November 15, 2013 14:23:40 UTC",38.7932,-122.7628,1.0,3.20,15,"Northern California"
pr,13319002,0,"Friday, November 15, 2013 14:14:33 UTC",18.1058,-65.1420,2.7,10.00, 3,"Virgin Islands region"
ak,10848874,2,"Friday, November 15, 2013 13:39:52 UTC",68.4656,-148.7669,3.3,22.10,14,"northern Alaska"
ak,10848872,2,"Friday, November 15, 2013 12:58:26 UTC",52.1238,-168.6652,2.6,42.60, 8,"Fox Islands, Aleutian Islands, Alaska"
pr,13319001,0,"Friday, November 15, 2013 12:36:56 UTC",18.7576,-68.7061,3.2,40.00, 5,"Dominican Republic"
uw,60629981,3,"Friday, November 15, 2013 12:28:52 UTC",43.6732,-121.1085,1.9,6.40,13,"Oregon"
nc,72107986,0,"Friday, November 15, 2013 12:22:56 UTC",36.9543,-121.5790,1.2,6.30,10,"Northern California"
uu,60044892,2,"Friday, November 15, 2013 12:20:42 UTC",39.6762,-111.5103,1.2,3.80,17,"Utah"
ak,10848707,1,"Friday, November 15, 2013 11:58:37 UTC",62.2792,-145.7969,1.8,11.30,14,"Central Alaska"
nc,72107971,0,"Friday, November 15, 2013 11:53:07 UTC",38.7870,-122.7533,1.2,1.00,16,"Northern California"
uw,60629946,2,"Friday, November 15, 2013 11:42:47 UTC",43.6835,-121.1710,1.7,0.80,16,"Newberry Caldera area, Oregon"
uu,60044882,2,"Friday, November 15, 2013 11:40:49 UTC",39.6913,-111.5112,1.0,7.70,13,"Utah"
uu,60044877,2,"Friday, November 15, 2013 11:23:41 UTC",39.6842,-111.5080,1.0,2.80, 9,"Utah"
uu,60044867,4,"Friday, November 15, 2013 11:17:02 UTC",39.6772,-111.5188,2.2,1.30,31,"Utah"
uw,60629926,3,"Friday, November 15, 2013 11:10:06 UTC",43.6783,-121.1248,2.1,5.70,13,"Newberry Caldera area, Oregon"
uu,60002235,2,"Friday, November 15, 2013 11:04:43 UTC",39.6163,-111.4800,1.9,7.80, 6,"Utah"
uu,60044862,2,"Friday, November 15, 2013 11:04:30 UTC",39.6653,-111.4943,1.4,5.60,14,"Utah"
uu,60044847,2,"Friday, November 15, 2013 10:57:35 UTC",39.6725,-111.5157,1.3,4.80,15,"Utah"
uu,60044842,4,"Friday, November 15, 2013 10:51:44 UTC",39.6848,-111.5163,2.4,5.30,35,"Utah"
uu,60044837,4,"Friday, November 15, 2013 10:40:57 UTC",39.6837,-111.5088,1.4,5.80,17,"Utah"
pr,13319000,0,"Friday, November 15, 2013 10:40:49 UTC",18.2970,-66.1546,2.3,13.00,16,"Puerto Rico"
ak,10848536,2,"Friday, November 15, 2013 10:34:17 UTC",62.3263,-148.1604,1.0,47.70,10,"Central Alaska"
ak,10848517,2,"Friday, November 15, 2013 09:39:43 UTC",51.3646,-178.8628,3.5,14.20,11,"Andreanof Islands, Aleutian Islands, Alaska"
uu,60044827,4,"Friday, November 15, 2013 08:55:44 UTC",39.6862,-111.5150,1.7,5.50,17,"Utah"
ak,10848354,1,"Friday, November 15, 2013 08:30:37 UTC",59.8417,-153.0834,2.5,100.00,33,"Southern Alaska"
nn,00429253,1,"Friday, November 15, 2013 08:29:54 UTC",39.0629,-119.6061,1.0,11.40,10,"Nevada"
nc,72107911,0,"Friday, November 15, 2013 08:28:54 UTC",36.6048,-121.1575,1.5,6.00,11,"Central California"
uu,60044817,4,"Friday, November 15, 2013 08:11:32 UTC",39.6757,-111.5213,1.6,8.00,18,"Utah"
ci,11391922,4,"Friday, November 15, 2013 07:56:15 UTC",34.2482,-118.4953,1.2,12.60, 7,"Greater Los Angeles area, California"
ci,11391914,4,"Friday, November 15, 2013 07:38:07 UTC",35.6088,-117.5240,1.3,1.70,11,"Southern California"
ci,11391906,5,"Friday, November 15, 2013 07:27:39 UTC",33.1237,-116.0462,1.5,9.30,40,"Southern California"
ak,10848200,1,"Friday, November 15, 2013 07:25:14 UTC",61.3723,-151.4672,1.8,73.20,24,"Southern Alaska"
ci,11391898,5,"Friday, November 15, 2013 06:59:19 UTC",32.8965,-115.9417,1.4,7.50,30,"Southern California"
uu,60044782,4,"Friday, November 15, 2013 06:57:32 UTC",39.6818,-111.5167,1.7,4.70,29,"Utah"
uu,60044772,2,"Friday, November 15, 2013 06:38:21 UTC",39.6768,-111.5048,1.2,2.90, 9,"Utah"
uu,60044767,4,"Friday, November 15, 2013 06:34:11 UTC",39.6818,-111.5143,1.7,3.30,27,"Utah"
uu,60044757,2,"Friday, November 15, 2013 06:09:29 UTC",39.6808,-111.5138,1.0,3.60, 9,"Utah"
nc,72107886,0,"Friday, November 15, 2013 05:56:54 UTC",38.3720,-122.3955,2.1,5.30,13,"Northern California"
uu,60044752,2,"Friday, November 15, 2013 05:55:09 UTC",39.6878,-111.5130,1.1,7.70,10,"Utah"
uu,60044747,4,"Friday, November 15, 2013 05:37:40 UTC",39.6793,-111.5155,1.4,4.60,17,"Utah"
ci,11391874,4,"Friday, November 15, 2013 05:20:25 UTC",34.3132,-118.4330,1.3,8.10,10,"Greater Los Angeles area, California"
ak,10848050,1,"Friday, November 15, 2013 05:18:46 UTC",61.5450,-140.8832,1.6,3.00, 7,"Southern Yukon Territory, Canada"
nm,111413a,B,"Friday, November 15, 2013 04:30:08 UTC",37.2706,-89.2692,2.6,7.60,20,"Illinois"
nc,72107871,0,"Friday, November 15, 2013 04:10:27 UTC",38.8360,-122.8115,1.2,2.20,22,"Northern California"
ak,10847909,2,"Friday, November 15, 2013 03:56:23 UTC",51.4367,-179.0400,2.4,24.00, 8,"Andreanof Islands, Aleutian Islands, Alaska"
ak,10847914,2,"Friday, November 15, 2013 03:49:48 UTC",63.4204,-149.4172,1.3,102.10,11,"Central Alaska"
ak,10847890,1,"Friday, November 15, 2013 03:36:05 UTC",61.7399,-150.7512,1.4,13.30, 6,"Southern Alaska"
at,00mwacmu,1,"Friday, November 15, 2013 03:35:18 UTC",51.4219,-178.6250,5.7,2.00,22,"Andreanof Islands, Aleutian Islands, Alaska"
nc,72107851,0,"Friday, November 15, 2013 03:27:28 UTC",38.7782,-122.7123,1.2,3.10,16,"Northern California"
nc,72107846,0,"Friday, November 15, 2013 03:24:54 UTC",38.8302,-122.7590,1.2,1.10, 9,"Northern California"
ak,10847766,1,"Friday, November 15, 2013 03:09:59 UTC",59.6479,-151.9324,1.5,27.70, 8,"Kenai Peninsula, Alaska"
ci,11391834,2,"Friday, November 15, 2013 02:01:50 UTC",33.5017,-116.4653,1.7,8.60,50,"Southern California"
nc,72107806,1,"Friday, November 15, 2013 01:30:18 UTC",38.8217,-122.8027,1.2,3.00,25,"Northern California"
ak,10847621,1,"Friday, November 15, 2013 01:18:59 UTC",61.7308,-147.5718,1.6,34.70,20,"Southern Alaska"
ci,11391826,4,"Friday, November 15, 2013 00:41:12 UTC",32.5465,-116.7772,1.6,0.00,28,"Baja California, Mexico"
ak,10847497,1,"Friday, November 15, 2013 00:39:11 UTC",61.8140,-151.5097,1.9,90.50,25,"Southern Alaska"
ak,10847494,1,"Friday, November 15, 2013 00:33:19 UTC",60.8645,-147.7054,2.3,17.90,26,"Southern Alaska"
ci,11391818,5,"Friday, November 15, 2013 00:22:57 UTC",34.0332,-116.3120,1.6,8.80,43,"Southern California"
ak,10847486,2,"Friday, November 15, 2013 00:05:16 UTC",61.6257,-152.2509,1.9,118.90, 8,"Southern Alaska"
ak,10847485,2,"Friday, November 15, 2013 00:04:34 UTC",64.9601,-147.3692,1.2,0.40, 8,"Central Alaska"
ak,10852902,2,"Thursday, November 14, 2013 23:51:41 UTC",61.9046,-143.9141,1.2,6.80,16,"Southern Alaska"
ak,10852901,2,"Thursday, November 14, 2013 23:44:19 UTC",51.4107,-176.2851,1.9,19.30,10,"Andreanof Islands, Aleutian Islands, Alaska"
nc,72107771,0,"Thursday, November 14, 2013 23:27:19 UTC",38.8440,-122.8298,1.0,1.90,21,"Northern California"
ak,10852900,2,"Thursday, November 14, 2013 23:13:53 UTC",51.5275,-174.9121,2.6,42.70,19,"Andreanof Islands, Aleutian Islands, Alaska"
ci,11391802,4,"Thursday, November 14, 2013 23:06:50 UTC",33.0622,-116.4777,1.1,0.00,25,"Southern California"
pr,13318004,0,"Thursday, November 14, 2013 23:04:01 UTC",18.7737,-67.3660,2.8,33.00, 6,"Puerto Rico region"
uw,60629641,3,"Thursday, November 14, 2013 23:00:34 UTC",43.6698,-121.1398,1.0,5.50, 9,"Newberry Caldera area, Oregon"
uw,60629636,5,"Thursday, November 14, 2013 22:58:53 UTC",43.6658,-121.1512,1.9,2.80,14,"Newberry Caldera area, Oregon"
ak,10847193,2,"Thursday, November 14, 2013 22:39:13 UTC",63.2132,-151.3196,1.5,11.80,34,"Central Alaska"
uw,60629621,1,"Thursday, November 14, 2013 22:30:25 UTC",43.6715,-121.1792,1.0,7.70, 8,"Newberry Caldera area, Oregon"
nc,72107756,0,"Thursday, November 14, 2013 22:29:52 UTC",40.7577,-122.3083,1.9,5.00, 6,"Northern California"
uw,60629611,3,"Thursday, November 14, 2013 22:28:55 UTC",43.6690,-121.1658,1.7,0.00,15,"Newberry Caldera area, Oregon"
ak,10847176,2,"Thursday, November 14, 2013 22:19:01 UTC",53.4932,-165.3132,2.1,38.40,20,"Fox Islands, Aleutian Islands, Alaska"
ci,11391794,5,"Thursday, November 14, 2013 22:12:45 UTC",32.7685,-116.8850,1.7,0.00,22,"San Diego County urban area, California"
ak,10847157,2,"Thursday, November 14, 2013 22:06:17 UTC",61.8856,-149.2258,1.5,35.20,36,"Southern Alaska"
nc,72107746,0,"Thursday, November 14, 2013 22:00:18 UTC",38.7715,-122.7172,1.0,2.70, 8,"Northern California"
ak,10847139,2,"Thursday, November 14, 2013 21:41:52 UTC",61.4952,-140.5403,1.4,9.80,23,"Southern Yukon Territory, Canada"
ak,10847138,2,"Thursday, November 14, 2013 21:41:12 UTC",51.4196,-176.6285,3.6,26.30,26,"Andreanof Islands, Aleutian Islands, Alaska"
nc,72107726,1,"Thursday, November 14, 2013 21:20:09 UTC",40.3712,-124.6070,2.6,21.00,14,"offshore Northern California"
ak,10852893,2,"Thursday, November 14, 2013 21:19:23 UTC",61.5119,-146.2118,1.3,10.00,18,"Southern Alaska"
ak,10847025,2,"Thursday, November 14, 2013 21:05:49 UTC",61.8393,-150.0646,1.1,39.80,17,"Southern Alaska"
ci,11391786,5,"Thursday, November 14, 2013 20:48:47 UTC",33.8478,-117.4907,1.3,0.00,28,"Greater Los Angeles area, California"
ak,10846892,2,"Thursday, November 14, 2013 20:25:24 UTC",63.9270,-148.8915,1.5,0.00,24,"Central Alaska"
nn,00429205,1,"Thursday, November 14, 2013 20:17:39 UTC",38.7890,-117.0247,1.9,5.00, 5,"Nevada"
nc,72107696,0,"Thursday, November 14, 2013 20:01:20 UTC",35.7165,-121.0737,1.3,6.40,11,"Central California"
ak,10846871,2,"Thursday, November 14, 2013 19:59:24 UTC",60.9402,-147.5858,1.3,15.00,25,"Southern Alaska"
ci,11391770,4,"Thursday, November 14, 2013 19:49:23 UTC",34.3122,-118.4197,1.9,8.50,36,"Greater Los Angeles area, California"
ci,11391762,4,"Thursday, November 14, 2013 19:38:30 UTC",35.0467,-118.3173,1.4,0.00,16,"Southern California"
nc,72107661,0,"Thursday, November 14, 2013 19:35:56 UTC",36.6248,-121.1637,1.0,7.80, 8,"Central California"
ak,10846846,2,"Thursday, November 14, 2013 19:26:07 UTC",64.8043,-148.8052,1.1,18.40,16,"Central Alaska"
ak,10846744,2,"Thursday, November 14, 2013 19:21:00 UTC",51.1853,-178.5311,2.9,22.00,21,"Andreanof Islands, Aleutian Islands, Alaska"
uw,60629416,3,"Thursday, November 14, 2013 19:15:18 UTC",44.1007,-121.3427,1.0,0.00,14,"Oregon"
ak,10846732,2,"Thursday, November 14, 2013 18:51:45 UTC",51.5830,-178.3856,2.8,4.90,20,"Andreanof Islands, Aleutian Islands, Alaska"
ak,10846721,2,"Thursday, November 14, 2013 18:16:52 UTC",62.2272,-145.6903,1.6,13.80,26,"Central Alaska"
nc,72107636,0,"Thursday, November 14, 2013 18:14:37 UTC",40.2360,-121.0865,2.0,1.30, 8,"Northern California"
ak,10852883,2,"Thursday, November 14, 2013 17:53:55 UTC",51.3914,-178.8060,2.4,11.70,11,"Andreanof Islands, Aleutian Islands, Alaska"
uw,60629321,1,"Thursday, November 14, 2013 17:44:53 UTC",43.6638,-121.1480,1.0,1.80,10,"Newberry Caldera area, Oregon"
ak,10846618,2,"Thursday, November 14, 2013 17:39:29 UTC",51.4113,-178.6651,2.5,6.70,18,"Andreanof Islands, Aleutian Islands, Alaska"
pr,13318003,0,"Thursday, November 14, 2013 17:34:00 UTC",18.1814,-66.9933,2.0,15.00,12,"Puerto Rico"
nc,72107626,0,"Thursday, November 14, 2013 17:22:08 UTC",38.8122,-122.8265,1.5,2.50,17,"Northern California"
nc,72107621,0,"Thursday, November 14, 2013 17:19:47 UTC",38.8115,-122.8127,1.3,2.60,18,"Northern California"
ci,11391730,5,"Thursday, November 14, 2013 17:17:55 UTC",33.7152,-116.7682,1.5,17.70,40,"Southern California"
ak,10846603,2,"Thursday, November 14, 2013 17:01:55 UTC",65.1085,-147.3639,2.0,1.80,27,"northern Alaska"
nc,72107616,0,"Thursday, November 14, 2013 16:52:57 UTC",38.7912,-122.8092,1.3,3.40,22,"Northern California"
nc,72107611,0,"Thursday, November 14, 2013 16:43:39 UTC",38.8230,-122.8090,1.2,3.10,17,"Northern California"
nc,72107606,0,"Thursday, November 14, 2013 16:42:48 UTC",38.8228,-122.8088,1.0,3.30,19,"Northern California"
ak,10846593,2,"Thursday, November 14, 2013 16:36:12 UTC",61.6406,-150.6594,1.8,4.40,46,"Southern Alaska"
ci,11391706,4,"Thursday, November 14, 2013 16:25:00 UTC",34.0455,-117.2282,1.2,16.80,12,"Greater Los Angeles area, California"
ak,10846582,2,"Thursday, November 14, 2013 16:21:41 UTC",58.8821,-154.4808,2.7,121.40,82,"Alaska Peninsula"
pr,13318002,0,"Thursday, November 14, 2013 16:09:49 UTC",18.8966,-64.2713,2.6,35.00, 4,"Virgin Islands region"
ak,10846578,2,"Thursday, November 14, 2013 16:04:05 UTC",59.8997,-153.2161,2.1,117.20,39,"Southern Alaska"
ak,10852875,2,"Thursday, November 14, 2013 15:45:06 UTC",59.8405,-152.9044,1.9,99.90,28,"Southern Alaska"
ak,10846572,2,"Thursday, November 14, 2013 15:32:34 UTC",63.4722,-151.3430,1.5,2.30,23,"Central Alaska"
hv,60591586,1,"Thursday, November 14, 2013 15:18:10 UTC",19.2100,-155.4757,1.8,0.30,69,"Island of Hawaii, Hawaii"
ci,37163829,2,"Thursday, November 14, 2013 15:06:11 UTC",36.4477,-117.0108,1.2,11.70, 7,"Central California"
ak,10846563,2,"Thursday, November 14, 2013 15:00:24 UTC",63.4363,-146.0446,1.9,1.00,39,"Central Alaska"
ci,11391674,3,"Thursday, November 14, 2013 14:56:27 UTC",33.8773,-117.8105,1.2,8.60,19,"Greater Los Angeles area, California"
ak,10846556,3,"Thursday, November 14, 2013 14:48:20 UTC",59.5050,-150.6954,1.4,38.00,18,"Kenai Peninsula, Alaska"
ak,10846550,2,"Thursday, November 14, 2013 14:38:14 UTC",60.8544,-150.7701,1.9,37.60,45,"Kenai Peninsula, Alaska"
ak,10846458,2,"Thursday, November 14, 2013 14:05:25 UTC",61.5646,-151.4316,1.8,70.20,48,"Southern Alaska"
nc,72107566,0,"Thursday, November 14, 2013 13:49:07 UTC",39.2217,-120.4820,1.5,8.30, 8,"Northern California"
uu,60044642,2,"Thursday, November 14, 2013 13:44:50 UTC",38.9590,-111.3930,1.2,1.90, 9,"Utah"
ak,10846455,2,"Thursday, November 14, 2013 13:32:53 UTC",52.2508,-175.5799,3.2,72.70,20,"Andreanof Islands, Aleutian Islands, Alaska"
ak,10852868,2,"Thursday, November 14, 2013 13:20:45 UTC",59.9308,-153.4288,1.8,120.70,16,"Southern Alaska"
ci,11391650,2,"Thursday, November 14, 2013 13:08:22 UTC",36.0842,-117.8783,1.4,0.90,14,"Central California"
uu,60044637,2,"Thursday, November 14, 2013 12:48:34 UTC",38.7170,-111.4437,1.2,0.40, 5,"Utah"
nc,72107546,0,"Thursday, November 14, 2013 12:38:01 UTC",38.7900,-122.7620,1.1,0.20,19,"Northern California"
nc,72107521,0,"Thursday, November 14, 2013 11:59:50 UTC",38.8287,-122.7952,1.2,2.90,13,"Northern California"
ak,10852867,2,"Thursday, November 14, 2013 11:57:26 UTC",59.5437,-153.2900,2.0,100.00,24,"Southern Alaska"
ak,10852866,2,"Thursday, November 14, 2013 11:41:40 UTC",53.6966,-165.4729,1.9,85.70,11,"Fox Islands, Aleutian Islands, Alaska"
nn,00429168,1,"Thursday, November 14, 2013 11:34:57 UTC",39.7367,-119.5891,1.4,12.90,27,"Nevada"
nc,72107506,0,"Thursday, November 14, 2013 11:30:28 UTC",38.8208,-122.7968,1.0,3.10,13,"Northern California"
ak,10852865,2,"Thursday, November 14, 2013 11:27:42 UTC",53.4101,-163.4831,2.3,25.00,13,"Unimak Island region, Alaska"
ak,10852864,2,"Thursday, November 14, 2013 11:27:13 UTC",51.3601,-178.9834,2.2,10.40, 8,"Andreanof Islands, Aleutian Islands, Alaska"
ak,10846358,2,"Thursday, November 14, 2013 11:26:03 UTC",53.3454,-163.5267,2.4,25.00,14,"Unimak Island region, Alaska"
ci,11391626,3,"Thursday, November 14, 2013 11:24:51 UTC",33.4630,-116.4713,1.6,14.90,37,"Southern California"
ak,10846354,3,"Thursday, November 14, 2013 11:17:33 UTC",51.4368,-178.7816,2.9,9.00,14,"Andreanof Islands, Aleutian Islands, Alaska"
ak,10852860,2,"Thursday, November 14, 2013 11:01:02 UTC",59.4860,-152.7122,1.8,75.80,22,"Southern Alaska"
ak,10852859,2,"Thursday, November 14, 2013 10:31:19 UTC",60.2081,-152.6376,1.7,108.50,19,"Southern Alaska"
ak,10846267,2,"Thursday, November 14, 2013 10:23:40 UTC",60.8687,-138.0839,1.5,0.50,14,"Southern Yukon Territory, Canada"
nn,00429150,1,"Thursday, November 14, 2013 10:03:34 UTC",38.1569,-115.9576,1.7,0.00, 5,"Nevada"
